2016-08-08 00.38.45,-24489,Batt:ok, Id:f3/4, Temp: 88.4, Hum:48
2016-08-08 00.38.50,-24488,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.38.55,-24486,Batt:ok, Id:ab/7, Temp: 71.6, Hum:44
2016-08-08 00.38.55,-24485,Batt:ok, Id:1f/1, Temp: 81.4, Hum:86
2016-08-08 00.39.17,-24483,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.39.21,-24482,Batt:ok, Id:c0/8, Temp: 72.9, Hum:48
2016-08-08 00.39.46,-24481,Batt:ok, Id:f3/4, Temp: 88.3, Hum:48
2016-08-08 00.39.48,-24480,Batt:ok, Id:1f/1, Temp: 81.3, Hum:86
2016-08-08 00.39.49,-24479,Batt:lo, Id:40/3, Temp: 69.3, Hum:51
2016-08-08 00.40.08,-24476,Batt:ok, Id:ab/7, Temp: 71.7, Hum:44
2016-08-08 00.40.14,-24475,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.40.40,-24474,Batt:ok, Id:c0/8, Temp: 72.9, Hum:48
2016-08-08 00.40.41,-24473,Batt:ok, Id:1f/1, Temp: 81.3, Hum:86
2016-08-08 00.40.47,-24472,Batt:ok, Id:f3/4, Temp: 88.4, Hum:48
2016-08-08 00.40.48,-24471,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.41.11,-24469,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.41.21,-24467,Batt:ok, Id:ab/7, Temp: 71.7, Hum:44
2016-08-08 00.41.34,-24466,Batt:ok, Id:1f/1, Temp: 81.4, Hum:86
2016-08-08 00.41.47,-24465,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.41.48,-24464,Batt:ok, Id:f3/4, Temp: 88.4, Hum:48
2016-08-08 00.41.59,-24463,Batt:ok, Id:c0/8, Temp: 73.0, Hum:48
2016-08-08 00.42.08,-24462,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.42.27,-24459,Batt:ok, Id:1f/1, Temp: 81.3, Hum:86
2016-08-08 00.42.34,-24458,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.42.46,-24457,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.42.49,-24456,Batt:ok, Id:f3/4, Temp: 88.3, Hum:48
2016-08-08 00.43.05,-24455,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.43.18,-24454,Batt:ok, Id:c0/8, Temp: 73.0, Hum:48
2016-08-08 00.43.20,-24453,Batt:ok, Id:1f/1, Temp: 81.3, Hum:86
2016-08-08 00.43.45,-24450,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.43.47,-24449,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.43.50,-24448,Batt:ok, Id:f3/4, Temp: 88.3, Hum:48
2016-08-08 00.44.02,-24447,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.44.13,-24446,Batt:ok, Id:1f/1, Temp: 81.3, Hum:86
2016-08-08 00.44.37,-24444,Batt:ok, Id:c0/8, Temp: 73.0, Hum:48
2016-08-08 00.44.44,-24443,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.44.51,-24441,Batt:ok, Id:f3/4, Temp: 88.3, Hum:48
2016-08-08 00.44.59,-24440,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.45.00,-24439,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.45.06,-24438,Batt:ok, Id:1f/1, Temp: 81.3, Hum:86
2016-08-08 00.45.43,-24436,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.45.52,-24435,Batt:ok, Id:f3/4, Temp: 88.3, Hum:48
2016-08-08 00.45.59,-24432,Batt:ok, Id:1f/1, Temp: 81.2, Hum:86
2016-08-08 00.46.13,-24431,Batt:ok, Id:ab/7, Temp: 71.8, Hum:44
2016-08-08 00.46.42,-24430,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.46.52,-24428,Batt:ok, Id:1f/1, Temp: 81.3, Hum:86
2016-08-08 00.47.15,-24426,Batt:ok, Id:c0/8, Temp: 73.0, Hum:48
2016-08-08 00.47.26,-24425,Batt:ok, Id:ab/7, Temp: 71.9, Hum:44
2016-08-08 00.47.41,-24424,Batt:lo, Id:40/3, Temp: 69.5, Hum:51
2016-08-08 00.47.45,-24423,Batt:ok, Id:1f/1, Temp: 81.3, Hum:86
2016-08-08 00.47.50,-24422,Batt:ok, Id:99/2, Temp: 76.5, Hum:59
2016-08-08 00.47.54,-24420,Batt:ok, Id:f3/4, Temp: 88.3, Hum:48
2016-08-08 00.48.34,-24418,Batt:ok, Id:c0/8, Temp: 73.0, Hum:47
2016-08-08 00.48.38,-24417,Batt:ok, Id:1f/1, Temp: 81.2, Hum:86
2016-08-08 00.48.39,-24416,Batt:ok, Id:ab/7, Temp: 71.8, Hum:44
2016-08-08 00.48.40,-24415,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.48.47,-24414,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.48.55,-24413,Batt:ok, Id:f3/4, Temp: 88.2, Hum:48
2016-08-08 00.49.31,-24411,Batt:ok, Id:1f/1, Temp: 81.2, Hum:86
2016-08-08 00.49.39,-24409,Batt:lo, Id:40/3, Temp: 69.4, Hum:51
2016-08-08 00.49.44,-24408,Batt:ok, Id:99/2, Temp: 76.6, Hum:59
2016-08-08 00.49.52,-24407,Batt:ok, Id:ab/7, Temp: 71.7, Hum:44
2016-08-08 00.49.53,-24406,Batt:ok, Id:c0/8, Temp: 73.0, Hum:47
2016-08-08 00.49.56,-24405,Batt:ok, Id:f3/4, Temp: 88.2, Hum:48
